filter_idx,final_equity,winrate,trades,max_losing_streak,avg_monthly_losing_streak,sharpe
93032,29.315582,0.41611114,12451,16,10.625,12.263789
66848,29.130781,0.41638947,12325,17,10.541666666666666,12.243715
91068,28.979656,0.41443446,12581,17,10.791666666666666,12.068088
29254,28.896276,0.41411334,12598,18,10.333333333333334,12.0264015
74693,28.876457,0.41406685,12597,18,10.625,12.018678
55706,28.84468,0.41422427,12556,18,10.458333333333334,12.023378
23719,28.822512,0.4152988,12367,17,10.625,12.097136
88258,28.812153,0.4151995,12382,17,10.208333333333334,12.085831
35333,28.806276,0.4135832,12648,17,10.958333333333334,11.967824
94448,28.794556,0.4134365,12667,18,10.625,11.954882
59487,28.73325,0.41317883,12687,19,10.416666666666666,11.920809
88024,28.703115,0.4162282,12164,17,10.541666666666666,12.138263
3124,28.69527,0.4141406,12503,17,10.458333333333334,11.984776
37089,28.690199,0.4142045,12489,18,10.166666666666666,11.9888
21190,28.671589,0.41360673,12582,18,10.541666666666666,11.940836
62165,28.617569,0.41248432,12752,18,10.541666666666666,11.846131
37054,28.613085,0.41269466,12714,17,10.666666666666666,11.860349
70989,28.511955,0.41205007,12780,18,10.666666666666666,11.791087
96759,28.499357,0.4127976,12643,19,10.625,11.8438225
99593,28.471216,0.41248816,12684,17,10.166666666666666,11.81485
23041,28.453167,0.41221315,12724,19,10.583333333333334,11.790542
46242,28.40282,0.41235405,12676,17,10.625,11.790131
89678,28.402344,0.41263556,12631,18,10.75,11.808633
12105,28.393215,0.41234022,12674,18,10.25,11.787035
71621,28.379107,0.41400194,12384,17,10.541666666666666,11.905736
30269,28.377266,0.4130591,12543,18,10.875,11.836214
93560,28.376354,0.41182002,12758,19,10.75,11.744754
6520,28.369768,0.41161755,12791,18,10.416666666666666,11.728262
29662,28.363192,0.41141608,12824,18,10.416666666666666,11.711825
45861,28.362017,0.4125099,12630,18,10.5,11.792838
77773,28.36161,0.41426834,12335,17,10.708333333333334,11.919532
36514,28.357176,0.41151202,12804,18,10.625,11.717687
74257,28.353287,0.4143588,12313,18,10.5,11.926094
10274,28.353167,0.41484752,12231,16,10.291666666666666,11.962267
88312,28.351187,0.41160825,12784,18,10.375,11.723572
95454,28.349703,0.41206583,12697,17,10.583333333333334,11.759006
58901,28.345825,0.41257632,12611,18,10.291666666666666,11.794245
55271,28.34385,0.41188943,12734,18,10.416666666666666,11.74114
26065,28.334387,0.41137463,12818,18,10.375,11.702535
27281,28.325388,0.41137907,12813,18,10.416666666666666,11.700931
88516,28.32451,0.4138851,12373,17,10.041666666666666,11.887436
51110,28.320135,0.41325754,12491,17,10.375,11.835416
61195,28.315691,0.41158512,12775,18,10.416666666666666,11.712441
17523,28.311014,0.41234666,12635,17,10.083333333333334,11.769726
45853,28.3092,0.41144288,12794,18,10.375,11.702207
90500,28.308603,0.41142455,12797,18,10.416666666666666,11.700715
47511,28.304417,0.41185722,12718,18,10.291666666666666,11.732016
55757,28.294786,0.41128278,12816,18,10.375,11.6871605
62541,28.293005,0.41264415,12575,18,10.208333333333334,11.787791
82933,28.292393,0.41205236,12678,18,10.375,11.743907
50177,28.288193,0.4122065,12649,18,10.291666666666666,11.754408
27765,28.28046,0.41196406,12688,18,10.458333333333334,11.734788
81900,28.277403,0.41451073,12253,15,10.125,11.920926
67869,28.274405,0.4112186,12818,18,10.375,11.677989
9800,28.270498,0.41405046,12327,17,11.041666666666666,11.885514
44507,28.268436,0.4127351,12548,17,10.041666666666666,11.789169
66293,28.268003,0.41128653,12794,18,10.375,11.684908
85564,28.263617,0.41144693,12772,18,10.416666666666666,11.692697
37436,28.261791,0.4111137,12831,18,10.416666666666666,11.66744
40090,28.26018,0.41293573,12508,17,10.083333333333334,11.802058
63748,28.25939,0.4113187,12793,18,10.375,11.682224
43366,28.258242,0.4115617,12749,18,10.291666666666666,11.7000885
74547,28.253855,0.41165385,12734,18,10.375,11.704202
98860,28.252779,0.41111803,12826,18,10.416666666666666,11.665824
52536,28.251604,0.41108167,12832,18,10.416666666666666,11.662858
96107,28.245592,0.41259354,12562,17,10.291666666666666,11.773773
89194,28.242622,0.41136417,12777,18,10.375,11.682009
39119,28.236586,0.41202497,12657,18,10.333333333333334,11.729785
92615,28.234201,0.41110852,12819,17,10.541666666666666,11.661121
12855,28.232988,0.41107213,12825,18,10.375,11.658139
38296,28.231842,0.41244733,12581,18,10.25,11.760012
10301,28.230614,0.41099945,12837,18,10.416666666666666,11.652204
27886,28.230053,0.41210443,12640,18,10.291666666666666,11.7342825
42483,28.224638,0.4122216,12617,18,10.25,11.74177
32780,28.222818,0.4113181,12776,18,10.375,11.674314
46263,28.222755,0.41362315,12376,16,10.0,11.844336
15539,28.218952,0.41284698,12501,17,10.125,11.788378
56434,28.217976,0.41145098,12750,18,10.416666666666666,11.683152
62193,28.216183,0.41522834,12109,15,9.958333333333334,11.95931
81929,28.214373,0.41106257,12818,18,10.416666666666666,11.653419
3886,28.213947,0.41364262,12373,17,10.5,11.841596
1007,28.21382,0.41160285,12721,18,10.416666666666666,11.693562
45907,28.21258,0.41299993,12477,15,10.083333333333334,11.796485
23126,28.211988,0.41098988,12830,18,10.416666666666666,11.647479
50532,28.211437,0.4115291,12733,18,10.416666666666666,11.687568
19427,28.211409,0.4109717,12833,18,10.416666666666666,11.646001
94139,28.210802,0.41095358,12836,18,10.416666666666666,11.644513
72326,28.21055,0.411723,12693,17,10.166666666666666,11.703511
25515,28.21021,0.41121277,12789,18,10.208333333333334,11.663743
96771,28.21019,0.41093543,12839,18,10.416666666666666,11.643024
37532,28.209597,0.4111945,12792,18,10.333333333333334,11.662244
54164,28.209057,0.41259465,12545,18,10.291666666666666,11.765932
10552,28.208374,0.41171837,12698,16,10.333333333333334,11.700957
50659,28.207247,0.41168135,12704,17,10.375,11.697987
70772,28.206587,0.41280884,12507,17,9.958333333333334,11.781144
35997,28.206,0.41164437,12710,18,10.291666666666666,11.69496
24391,28.205704,0.4136007,12367,17,10.208333333333334,11.840699
48515,28.203882,0.41426826,12265,15,10.125,11.885444
51997,28.203005,0.41127202,12775,18,10.416666666666666,11.666604
67186,28.201817,0.41179717,12681,18,10.333333333333334,11.705401
39404,28.201796,0.41095784,12831,18,10.375,11.642894
76417,28.20061,0.41092154,12837,18,10.416666666666666,11.639931
62903,28.199984,0.41174152,12690,18,10.416666666666666,11.700865
71994,28.194653,0.41214234,12617,18,10.208333333333334,11.729419
6304,28.194628,0.41157505,12717,18,10.333333333333334,11.687354
57151,28.193413,0.41098028,12823,18,10.458333333333334,11.642768
36442,28.19043,0.4159159,11988,15,10.0,12.002979
90520,28.190414,0.41088954,12838,18,10.416666666666666,11.635346
6774,28.190413,0.41088954,12838,18,10.416666666666666,11.635346
54714,28.188805,0.41310632,12452,17,10.416666666666666,11.797587
13340,28.187431,0.41163504,12703,18,10.291666666666666,11.690258
70081,28.185898,0.4138519,12316,17,10.166666666666666,11.854693
50573,28.185606,0.4110209,12812,18,10.375,11.644126
75731,28.183205,0.41094822,12824,17,10.416666666666666,11.63818
91573,28.182917,0.41316065,12431,17,10.208333333333334,11.803539
80873,28.182632,0.41093007,12827,18,10.458333333333334,11.636706
23525,28.1826,0.41176936,12677,18,10.291666666666666,11.699181
