filter_idx,final_equity,trades,max_losing_streak,avg_monthly_losing_streak,sharpe
63043,28.881588,12482,16,10.75,12.070916
87211,28.83776,12451,16,10.666666666666666,12.066407
60545,28.738777,12696,17,10.708333333333334,11.919598
89923,28.732204,12479,17,10.833333333333334,12.010517
5636,28.72795,12400,16,10.666666666666666,12.043396
77315,28.702179,12229,16,10.833333333333334,12.108651
87803,28.691969,12530,17,10.791666666666666,11.971721
91251,28.66256,12527,18,10.75,11.960883
39597,28.658974,12545,17,10.791666666666666,11.95162
23779,28.651175,12534,16,10.625,11.953159
60690,28.632572,12527,16,10.625,11.94851
56554,28.616388,12608,17,10.666666666666666,11.906939
3759,28.608595,12447,18,10.75,11.973371
10382,28.607943,12500,18,10.375,11.950042
92536,28.592373,12378,16,10.666666666666666,11.996867
33349,28.587559,12452,16,10.708333333333334,11.962488
10713,28.58218,12479,16,10.916666666666666,11.948514
12993,28.580978,12435,16,10.666666666666666,11.967178
53433,28.576796,12656,18,10.75,11.8701315
96693,28.56958,12292,16,10.791666666666666,12.025355
8705,28.566555,12657,18,10.5,11.865496
58288,28.544966,12715,18,10.458333333333334,11.832008
93345,28.543758,12521,17,10.833333333333334,11.914444
35193,28.534182,12169,16,10.833333333333334,12.065478
12268,28.531763,12631,18,10.541666666666666,11.862276
93975,28.512566,12527,16,10.208333333333334,11.898973
938,28.49879,12696,18,10.791666666666666,11.821098
73065,28.484354,12468,18,10.791666666666666,11.912833
91684,28.479586,12492,17,10.583333333333334,11.900469
74050,28.477783,12551,17,10.916666666666666,11.874287
52773,28.471182,12284,17,10.875,11.987956
90627,28.471157,12234,16,10.5,12.010127
85839,28.469952,12390,16,10.666666666666666,11.940829
31025,28.457378,12653,18,10.791666666666666,11.822309
71847,28.454983,12615,18,10.916666666666666,11.837499
80065,28.451363,12733,18,10.375,11.786015
881,28.447151,12354,17,10.666666666666666,11.947133
72126,28.435825,12561,17,10.875,11.852686
76057,28.428558,12497,18,10.541666666666666,11.877216
21994,28.42375,12221,16,10.666666666666666,11.996135
57942,28.41779,12601,18,10.833333333333334,11.828153
85387,28.412956,12675,18,10.5,11.794725
45446,28.412394,12728,17,10.791666666666666,11.772133
71400,28.411785,12731,17,10.833333333333334,11.77062
46296,28.411182,12384,17,10.458333333333334,11.919071
79760,28.40038,12438,18,10.583333333333334,11.891088
7801,28.397354,12053,15,10.625,12.060486
89533,28.385857,12324,18,10.666666666666666,11.934463
3500,28.38297,12375,17,10.833333333333334,11.911293
56042,28.37938,12743,18,10.75,11.752285
18385,28.375174,12764,18,10.416666666666666,11.74176
75917,28.374014,12220,15,10.041666666666666,11.975827
18522,28.36559,12712,17,10.708333333333334,11.759653
46607,28.351774,12731,18,10.625,11.745996
32204,28.348158,12499,16,10.208333333333334,11.843114
88309,28.347584,12652,18,10.791666666666666,11.777579
53417,28.343395,12723,18,10.791666666666666,11.745919
84946,28.333822,12471,16,10.625,11.84925
50385,28.332453,12391,17,10.291666666666666,11.882998
78014,28.330196,12689,18,10.791666666666666,11.754805
38131,28.32779,12651,17,10.541666666666666,11.769856
93694,28.326574,12507,18,10.541666666666666,11.830751
23515,28.318235,12499,17,10.958333333333334,11.830749
8347,28.316381,12808,18,10.375,11.699324
95933,28.309216,12394,18,10.5,11.872402
26327,28.306787,12706,17,10.458333333333334,11.7380295
1861,28.306181,12709,18,10.375,11.73652
90473,28.30434,12018,16,10.416666666666666,12.037296
15811,28.30378,12771,18,10.291666666666666,11.709576
28566,28.301987,12780,18,10.625,11.70509
18526,28.294228,12569,17,10.958333333333334,11.790853
89741,28.294176,12769,18,10.666666666666666,11.706474
69445,28.291782,12781,18,10.458333333333334,11.700489
11084,28.291197,12734,18,10.666666666666666,11.719885
75537,28.291193,12284,15,9.958333333333334,11.913016
98199,28.29057,12337,18,10.416666666666666,11.889512
24560,28.288193,12699,18,10.791666666666666,11.73334
88705,28.280405,12788,18,10.541666666666666,11.692912
18677,28.278622,12647,18,10.666666666666666,11.751316
71130,28.278198,12193,16,9.916666666666666,11.947349
26044,28.275064,12215,17,10.583333333333334,11.936754
76225,28.273792,12721,18,10.666666666666666,11.718191
67505,28.27076,12486,16,10.0,11.816695
64895,28.269598,12692,17,10.333333333333334,11.728634
11660,28.268831,12459,18,10.458333333333334,11.827167
36278,28.267202,12604,17,10.083333333333334,11.764825
75966,28.264801,12816,18,10.375,11.674889
54872,28.255814,12811,17,10.333333333333334,11.673284
28125,28.255766,12761,18,10.416666666666666,11.694064
65223,28.255194,12514,18,10.625,11.798245
36732,28.254591,12817,18,10.375,11.670296
6048,28.252796,12826,18,10.375,11.665831
85288,28.252108,12656,18,10.5,11.736324
77916,28.251568,12182,16,10.666666666666666,11.941577
29269,28.250381,12788,18,10.416666666666666,11.680613
65787,28.248585,12797,18,10.375,11.676136
5732,28.247366,12703,16,10.375,11.714883
18111,28.246773,12706,18,10.666666666666666,11.713382
37007,28.246193,12809,18,10.333333333333334,11.670176
65823,28.246172,12809,17,10.416666666666666,11.670166
