y1_rank,model_id,seed,y1_score,y2_months_survived,y2_disqualified,y2_total_trades,y2_total_pnl,y2_avg_monthly_sharpe,y2_pnl_m1,y2_sharpe_m1,y2_trades_m1,y2_pnl_m2,y2_sharpe_m2,y2_trades_m2,y2_pnl_m3,y2_sharpe_m3,y2_trades_m3,y2_pnl_m4,y2_sharpe_m4,y2_trades_m4,y2_pnl_m5,y2_sharpe_m5,y2_trades_m5,y2_pnl_m6,y2_sharpe_m6,y2_trades_m6,y2_pnl_m7,y2_sharpe_m7,y2_trades_m7,y2_pnl_m8,y2_sharpe_m8,y2_trades_m8,y2_pnl_m9,y2_sharpe_m9,y2_trades_m9,y2_pnl_m10,y2_sharpe_m10,y2_trades_m10,y2_pnl_m11,y2_sharpe_m11,y2_trades_m11,y2_pnl_m12,y2_sharpe_m12,y2_trades_m12
1,464,1464,7.970918931654498,12,False,2706,16.168568581178516,6.04998171489369,2.279907687333786,10.451253698717803,234,1.7699131111171607,8.34383042133497,210,1.5499070638019772,6.672507404344559,241,1.459917369723032,6.23140309675089,244,1.209882056454586,5.273218233467628,233,0.969834624104316,4.084609481006112,251,0.8898447687149471,3.8054727448034162,244,1.0698501846454975,4.616090438361864,238,1.139850928896322,4.926052482765787,237,1.2898719288881857,5.84971467281111,216,1.819860318377497,7.97285199035476,238,0.719928539121206,4.372775914005393,120
2,283,1283,5.22696902380531,12,False,2585,10.958658897749286,4.149802686245881,1.4798986319962386,6.150120735235991,257,1.2199157105531189,5.552504676554368,214,1.1199112703237601,4.820340017247542,239,1.0699195265065697,4.616388492773966,238,0.2898875569899408,1.3157040237280329,229,0.8598331946186422,3.6173416900801985,253,0.7198630928141916,3.2568006405539864,219,0.9298675231914528,4.270699552895343,210,0.61985972858786,2.791781995874171,223,1.159884697347318,5.564217323841886,193,0.9798820344199219,4.5851160738611565,202,0.5099359304002725,3.256617012303918,108
3,426,1426,5.137514397400205,12,False,2729,11.978551873457995,4.425352082960408,1.5999060708307768,6.929193075557689,239,0.9299192997532353,4.331710002542893,204,0.8899113813487557,3.9475616521000596,226,0.7799200021888048,3.392368002457989,237,0.7098816727974896,3.1077522781214633,235,0.9198289472907677,3.8208325585281684,259,0.6798471089278811,2.9276051313146723,244,1.3698429274435047,5.767149992886059,250,1.1498420129885716,4.830718578428547,251,1.209863215679205,5.342918218063703,227,1.0298646167664314,4.520029943311327,230,0.709924617442573,4.186385562212328,127
4,249,1249,4.952264619532213,12,False,2905,9.228463713369862,3.3067297055187765,1.4298953482426613,5.846829602580838,265,1.1999057327907874,5.252230687530136,231,1.069900049931338,4.455864676549045,256,0.9799164039987757,4.158141177822628,247,0.27988032438186616,1.2456578358566643,239,0.2598247736931949,1.1023533707197402,265,0.3598424172909058,1.561689917857345,249,0.6398418712391665,2.723642423553224,251,0.31983681752586013,1.3660715934397207,259,1.0098437973971512,4.1634230762805275,262,1.2298566365421704,5.216881379475181,246,0.4499195403359845,2.587970724560273,135
5,764,1764,4.871175964989391,12,False,2891,13.778486508433062,4.917447156189563,1.4298918238791432,5.748952033614296,274,0.8199059297399865,3.5477422480313208,239,0.8398988080528202,3.4839076768521506,261,1.5699150112876232,6.616163640048899,251,0.9998885676340769,4.446738978132216,224,1.319842928340172,5.670999020743184,240,1.2498514679680677,5.390454617012026,238,1.1098442578437953,4.682536011531463,249,1.3298363310811454,5.487770673958925,260,1.2298386741447542,4.982642141749008,270,1.1898531399336782,5.007454592078262,250,0.6899195685277986,3.944004240522996,135
6,66,1066,4.813747536815047,12,False,2701,12.858605344925124,4.787370509928246,1.469897012224812,6.059370956734367,261,1.209908342786067,5.273329746377278,233,1.709906453946012,7.217995554666378,252,1.0299192069507703,4.436727457399712,239,0.18988462164842412,0.8617461842643627,233,0.5898385749319562,2.5356839222619505,247,0.4298646925074171,1.9771737516151247,218,0.9298677794397244,4.241368811610452,213,1.759860819988953,7.988884647521511,223,1.7998540453925187,7.727483481846717,246,0.9498739189252343,4.2925500056056025,217,0.7899298761832335,4.8361315992355,119
7,413,1413,4.793323002829186,12,False,2727,10.708566068299747,3.9201609207215715,1.3799003617027437,5.786440581126977,252,1.089909467918069,4.781393794514475,230,0.7899001821403164,3.305809628789787,257,0.8499253659322897,3.839154265251927,218,0.6098992705004065,2.9130907823072376,197,0.7598657477148051,3.5344283261574487,206,0.6098512969939444,2.660011490789201,239,1.1498464544687659,4.888410171516241,245,0.82984367758602,3.5341573854763575,247,0.8698453021736036,3.624682734515045,258,1.3498567124634588,5.728933717356559,246,0.4199222287053265,2.4454181708576033,132
8,986,1986,4.770458709456019,12,False,2795,15.068522358208964,5.463536619469053,1.7798975448004544,7.401069050466253,260,1.1599110900645226,5.132547914266665,226,1.8099056660215815,7.792315713595185,245,1.349921711734816,5.917765389266936,231,1.0498913246959043,4.818435103674668,210,1.7398413132004744,7.611723833965193,237,0.8998548698963811,3.9249284419384325,234,1.0398505549262447,4.488078003204544,238,0.8098351576082697,3.3624085634697516,261,1.5198392206299878,6.183903351234004,268,1.319854608786376,5.566068583281438,249,0.5899192958439514,3.363195485265582,136
9,58,1058,4.757704844802526,12,False,2869,8.268499983719476,2.9741145585399074,0.839893312733178,3.4285932807004587,270,0.829907090200926,3.618830034321953,235,0.5199019728998232,2.1896297096326816,260,0.8599153025046585,3.638189441594837,250,0.8498868874453255,3.765517125766904,227,0.8198372097392275,3.4859295493683584,248,0.7698502586015895,3.343017843610201,238,0.6198484866289072,2.6918139934343817,241,0.3198395338595965,1.3736788778817364,256,0.43984276431366776,1.844173320954754,265,1.1798570365232017,5.01532723357585,245,0.2199201282693742,1.294674291636764,134
10,271,1271,4.661102037298973,12,False,2837,8.318501007788797,3.0218005220674122,1.6299010131573144,6.879090188765913,251,1.309914922819602,5.928690107172941,217,0.9299021038497365,3.9123997720339574,252,0.9399149778321927,3.9611266249501327,251,0.21987505657021944,0.9832456000824865,239,0.16982660063299898,0.7254783017044775,265,0.019844249022629823,0.08839327113320362,250,0.5198402638491898,2.2259337685279363,251,0.31984268925037224,1.38927536722047,250,1.0098638775466495,4.442615819952704,229,0.9798538814979626,4.1338826597823255,250,0.26992137175992753,1.5914747834823957,132
