agent_idx,final_equity,winrate,trades,max_losing_streak,avg_monthly_losing_streak,sharpe
95269,35.540134,0.37800014,30582,22,15.083333333333334,9.78641
91036,35.489674,0.41264737,15861,15,11.041666666666666,13.265413
66338,33.09813,0.39956474,18380,19,11.583333333333334,11.590944
93046,31.244717,0.38881993,20948,20,13.208333333333334,10.289325
27465,30.903275,0.26984128,9387,28,15.875,9.994027
72649,29.747215,0.31699184,11994,24,14.375,10.148861
77884,27.719492,0.29492927,17177,21,15.875,8.061621
39673,27.074211,0.38777053,18529,19,12.291666666666666,9.43872
23462,26.15971,0.3842672,19221,19,12.458333333333334,8.95673
25521,25.977034,0.33112103,8287,19,13.5,10.413662
56186,24.362347,0.3000882,13606,26,15.875,7.893809
84225,24.297098,0.36699516,29123,18,13.958333333333334,6.8127527
6988,23.76414,0.2530534,9907,29,16.708333333333332,7.6149845
38189,23.625528,0.25532386,9063,25,15.791666666666666,7.8487077
1554,23.328798,0.37404445,22500,20,13.916666666666666,7.40256
3066,22.704123,0.3017477,12073,23,16.208333333333332,7.766469
21104,20.807829,0.38795537,14164,16,11.375,8.207359
12561,20.567339,0.37881875,17185,21,12.208333333333334,7.397647
12355,20.041641,0.32730776,6749,21,11.875,8.853023
93126,19.849895,0.29285282,13208,23,16.166666666666668,6.5191236
97692,19.636873,0.4157385,8260,16,10.208333333333334,9.910798
47265,19.630798,0.2710392,5870,19,13.25,7.8860226
23781,19.427765,0.39306605,11797,21,10.583333333333334,8.3381405
52917,19.336271,0.29786658,11062,21,14.708333333333334,6.8753977
4847,18.618301,0.29912168,10133,20,14.333333333333334,6.8826704
74325,18.592087,0.39926594,10081,14,10.125,8.57747
9900,18.46018,0.40062997,9842,18,9.916666666666666,8.609277
97569,18.374775,0.2843748,15891,28,16.833333333333332,5.531652
76703,18.173315,0.24101827,9742,31,17.875,5.8830767
8181,17.974373,0.32467327,6274,28,13.375,8.216812
98666,17.693611,0.23913252,10375,29,17.541666666666668,5.578659
85710,17.560913,0.29302168,11808,18,14.416666666666666,6.067386
10961,17.320375,0.29485178,3846,20,12.166666666666666,8.306469
67014,17.249716,0.38877082,11292,19,11.916666666666666,7.528414
6410,17.183733,0.29351535,11134,21,14.791666666666666,6.0908575
66709,16.972063,0.37249383,17058,18,12.416666666666666,6.093107
35590,16.95758,0.34364188,4624,18,10.458333333333334,8.818393
60700,16.848082,0.40040445,8901,18,10.333333333333334,8.20929
14944,16.746502,0.30043414,3455,21,11.666666666666666,8.357422
64959,16.714378,0.30408382,8399,23,14.666666666666666,6.7282968
1283,16.681067,0.33623835,4934,21,12.583333333333334,8.441995
86390,16.63987,0.22789863,5011,23,16.291666666666668,6.3952613
78047,16.608484,0.30660224,3105,21,11.458333333333334,8.610448
311,16.54265,0.41260105,7174,14,9.416666666666666,8.888736
32683,16.471687,0.3834264,12357,15,11.458333333333334,6.8867145
39687,16.420567,0.32233372,5879,19,12.625,7.724207
37067,16.339375,0.25719064,5980,26,16.416666666666668,6.539776
66959,16.180387,0.36479232,3539,14,9.166666666666666,9.380796
27681,16.173544,0.4201497,6412,14,9.458333333333334,9.153294
19282,16.143904,0.2975352,3408,23,11.875,8.122166
64825,16.121447,0.37381518,15192,20,12.0,6.099187
16118,16.093906,0.30499196,3105,20,11.583333333333334,8.374263
50434,16.07394,0.24475971,7824,34,17.833333333333332,5.7320085
65683,15.883525,0.26465598,5305,22,13.791666666666666,6.7062974
50311,15.57795,0.24665134,7391,30,17.0,5.7042274
33623,15.56945,0.25796813,2008,21,12.291666666666666,7.603309
37992,15.482027,0.38005757,12506,21,12.875,6.421128
40205,15.401116,0.29462254,9670,19,14.208333333333334,5.8141356
21239,15.365236,0.34791353,3978,19,10.916666666666666,8.52463
72318,15.068933,0.35605633,3550,16,9.0,8.751915
38389,15.060643,0.3016555,7913,17,12.5,6.218444
83509,15.055733,0.31781375,5928,22,12.458333333333334,7.0758862
38847,14.922334,0.31247726,2749,21,11.208333333333334,8.194532
41888,14.684631,0.24076018,8577,23,16.75,5.0411057
39768,14.614168,0.3691851,3031,14,9.041666666666666,9.04862
26238,14.581008,0.4450322,4348,13,7.958333333333333,9.792076
67543,14.518665,0.34875542,3696,17,9.875,8.309514
56498,14.5112295,0.3075188,6650,20,13.458333333333334,6.466893
12646,14.364339,0.4464832,4251,12,7.541666666666667,9.741247
60347,14.276671,0.37080193,2918,14,8.958333333333334,8.976071
