agent_idx,final_equity,winrate,trades,max_drawdown,sharpe,orders_placed,orders_cancelled
404,6.6604757,0.43867925,848,0.03242483,6.312683832284569,914,66
1683,6.4200926,0.41660017,1253,0.045774877,6.538182210496327,1449,195
1299,6.127666,0.41248304,1474,0.047582027,6.3625382318790695,1666,192
3229,5.989279,0.50977063,1177,0.033396777,7.018463607946982,1489,312
546,5.9300194,0.5519231,1040,0.03521545,7.627304573366241,1119,79
656,5.8728633,0.37149718,1249,0.039253294,5.278975849845613,1508,259
2865,5.717247,0.56720686,1049,0.02247167,8.086021074166066,1167,118
3212,5.5818768,0.39258313,782,0.06435616,4.843737285135812,936,153
3709,5.492915,0.5576324,963,0.022202142,7.9696268059096855,1107,144
1673,5.491404,0.307971,828,0.08539511,4.150833377102838,969,140
1811,5.4805827,0.4009901,1010,0.03707451,5.730492365453468,1256,246
3970,5.4683657,0.444388,1969,0.058679383,5.792664732751918,2462,493
1116,5.384333,0.39814815,756,0.061839234,4.785626957066403,829,73
1424,5.23272,0.3857645,1138,0.05336596,5.177662569327853,1372,234
3571,5.218728,0.56112576,1137,0.037982225,8.276871722487979,1267,130
1014,5.212937,0.3213703,613,0.04966507,3.9401944910346045,742,129
2885,5.1935673,0.373892,1241,0.050854534,5.074867267435495,1377,136
3988,5.168662,0.4814332,1535,0.034041654,6.366559933916249,1893,358
31,5.1467676,0.4019757,1316,0.046844967,5.9060489363429545,1548,232
4117,5.063338,0.35117772,1401,0.057222355,4.73752313220317,1736,335
567,5.0173078,0.29421487,1210,0.04298401,4.232720190087752,1530,320
1132,4.9624968,0.3595011,1363,0.06017141,4.86725163422902,1575,211
612,4.943576,0.34225845,859,0.03974071,4.709496601065298,970,111
894,4.9072294,0.37919176,1163,0.05578982,5.070091961328378,1405,242
3599,4.897448,0.46365914,1596,0.03372458,6.0081235395539725,2030,434
542,4.885036,0.44508117,1047,0.03917977,6.293724316941614,1179,132
1070,4.7451735,0.3016627,421,0.073193826,3.727945293542636,434,13
866,4.7393274,0.5813511,1051,0.026047584,8.236046036751421,1112,61
2697,4.737896,0.38789546,727,0.06481969,4.293129524277342,804,76
3751,4.7357035,0.3392857,672,0.052989054,4.500629445894333,720,48
1202,4.6669507,0.36669543,1159,0.04140186,4.888318118634704,1472,313
1291,4.6642003,0.29955158,1115,0.052583955,4.0538621852577545,1336,221
3928,4.655017,0.35958904,584,0.04217234,4.33298766523926,699,114
538,4.6297708,0.42816636,1058,0.03756349,6.272249253013885,1148,90
2552,4.608998,0.3424408,549,0.04173449,3.992373727512411,685,136
674,4.5974236,0.31096196,447,0.0562732,3.6948163673501613,517,70
2190,4.5798283,0.36419752,1296,0.050826676,4.758606414149454,1613,317
235,4.5774117,0.2874859,887,0.07549943,3.65461644034867,1181,293
1783,4.546814,0.43308198,2122,0.06214182,4.968579981163048,2718,596
1334,4.530913,0.36649746,985,0.06334841,4.242359655150491,1216,230
2571,4.5298557,0.44083694,2772,0.11426512,5.497725933089379,3317,545
624,4.495872,0.33861145,821,0.03781399,4.557793558145836,922,101
651,4.475142,0.34775767,1271,0.05112888,4.527827415929677,1545,273
1160,4.457101,0.34158415,808,0.07571062,4.760358832811035,872,64
682,4.446791,0.3921283,686,0.06595566,4.558692088004316,840,153
1292,4.440265,0.39312038,814,0.045414872,5.254735946084955,1039,225
2344,4.4351273,0.371128,1711,0.042019833,5.124406832880124,1992,281
994,4.4184446,0.46153846,1625,0.042543154,5.431371087179133,2143,518
597,4.416828,0.2828746,654,0.06299127,3.710424697041227,862,208
3631,4.3911424,0.2792485,1171,0.053708114,3.8472711180960335,1526,355
3894,4.3702507,0.3969975,1199,0.037416786,5.504254643404334,1487,288
1395,4.3656006,0.42898974,683,0.065653145,5.42496592476658,744,61
2596,4.365075,0.4248927,932,0.042748414,6.031368636391087,1080,147
255,4.3579493,0.28114188,1156,0.056398176,3.7481456633588595,1399,243
997,4.3569055,0.3772504,1222,0.05344823,4.6927916891388275,1639,416
3024,4.3470354,0.33819628,754,0.04267525,4.545090176793286,822,68
4037,4.3026066,0.31925675,592,0.04593629,4.246844033299675,646,54
3730,4.2859125,0.41472173,557,0.057062145,4.722130169137472,593,36
626,4.263002,0.39805827,721,0.06821904,4.562420514513563,835,114
2210,4.2228346,0.25268817,930,0.056134664,3.5675192359080605,1198,268
4017,4.2167435,0.27888888,900,0.06977902,3.4508322276681307,1231,331
1879,4.1948924,0.34772462,857,0.06834628,3.7162549954226676,1186,328
367,4.183451,0.34437087,604,0.038886987,4.108348413589604,680,76
1327,4.1731505,0.367194,1201,0.07722985,4.559202121286348,1439,237
3358,4.1420074,0.28540772,932,0.0706701,3.4140310541395595,1232,300
2079,4.137051,0.3719457,1105,0.04193556,4.814784812569848,1452,347
2993,4.1366997,0.28115943,690,0.06969675,3.998846588868732,779,89
1747,4.1101213,0.3215909,880,0.04959468,4.299253765480658,1074,194
3910,4.101044,0.38772455,668,0.03929169,4.112685730785436,853,185
3954,4.0837064,0.3321033,542,0.05698721,3.8883312660161042,619,77
169,4.080687,0.38173303,854,0.047875687,4.5096526728067055,1027,173
3176,4.0786815,0.36933333,750,0.048404925,4.064449376141434,962,212
1646,4.0771203,0.3384263,1309,0.052706327,4.220573469495618,1749,440
3743,4.0752325,0.3340054,1488,0.072493084,4.016972201599259,2090,601
36,4.050021,0.38519925,527,0.045997083,4.650651025817855,596,69
3639,4.0360937,0.30163935,915,0.028451364,4.6999779251841165,1070,155
516,4.0357747,0.37012988,924,0.05930335,4.296189467004427,1109,184
2413,4.032633,0.33105803,293,0.054358054,3.1893938503455117,313,20
2776,4.0316405,0.43730888,654,0.03495371,5.325365477164504,695,41
2203,4.030995,0.50541794,1292,0.076935254,6.416536475472623,1426,134
993,4.0266266,0.41269842,441,0.046821862,4.955929674805412,462,21
310,4.008774,0.29737082,1103,0.04770626,3.96457072051449,1499,396
740,4.007783,0.3988355,687,0.048712354,5.364941734731007,742,55
2517,4.0019016,0.47508305,1505,0.06452859,5.539570088531855,1850,345
878,3.9778323,0.30885312,994,0.061406624,4.029044693488086,1155,160
483,3.9759421,0.35856268,1308,0.06429214,4.58918802715601,1726,418
3944,3.9654331,0.36543366,1568,0.06550925,4.790465425016436,1944,376
2347,3.9411564,0.37333333,450,0.020965211,5.143401094069573,498,48
1374,3.9383004,0.32119635,769,0.048750814,4.210443075085135,901,131
3502,3.9381042,0.35462344,1049,0.042879257,4.400309879228662,1213,164
1227,3.9329967,0.32663316,796,0.06612112,4.4189780124493785,1019,223
1310,3.9230106,0.5029762,1344,0.060590614,5.9523217993989475,1508,164
2937,3.9190505,0.4194237,937,0.061929356,5.191495944809181,1044,107
2464,3.9188511,0.25470653,903,0.07691099,3.6105356713866597,1045,141
3454,3.9188235,0.2792683,820,0.101370424,3.3996182777690613,1105,285
3731,3.908977,0.36386767,1179,0.080697395,4.437544119994656,1302,122
3132,3.8844361,0.26860842,618,0.04562986,3.6092395587464456,845,227
1991,3.882906,0.38878676,1088,0.06298801,4.6999143616972985,1275,187
3327,3.8779683,0.32297298,740,0.06871041,3.93103261130869,908,168
1324,3.877722,0.31626505,664,0.06899345,3.945879114567661,735,71
875,3.8728342,0.27038628,932,0.0797578,3.2849953021474927,1376,444
922,3.8721085,0.32527882,1076,0.02976006,4.63127254276304,1350,274
552,3.869118,0.2855263,1520,0.05757978,4.0492062235512645,1805,285
924,3.844494,0.5072231,623,0.019474978,6.51952261959013,659,36
3224,3.8392806,0.3667263,559,0.043060105,4.729922681150701,617,58
1274,3.83811,0.33303127,2207,0.062143587,4.275458257344979,2748,540
3325,3.8224545,0.31660694,837,0.06863858,4.116335558880605,940,103
1094,3.8224247,0.26595744,658,0.06410673,3.2792656280546546,768,110
1296,3.8009017,0.32040817,490,0.04331895,3.8386560624347563,576,86
3037,3.7996647,0.41327623,467,0.041573275,5.031967871017554,496,29
1806,3.7971148,0.4723127,1228,0.042818718,5.375962523293408,1424,196
