time,open,high,low,close,tick_volume,spread,real_volume
2024-09-26 16:00:00+00:00,20118.77,20158.72,19987.11,20136.2,17584,506,0
2024-09-26 20:00:00+00:00,20136.57,20178.18,20127.3,20141.91,4758,521,0
2024-09-27 00:00:00+00:00,20142.76,20142.76,20077.31,20117.02,8647,530,0
2024-09-27 04:00:00+00:00,20117.27,20154.47,20032.82,20045.05,10173,534,0
2024-09-27 08:00:00+00:00,20043.8,20142.86,20042.74,20141.97,10080,530,0
2024-09-27 12:00:00+00:00,20142.11,20191.72,20030.68,20033.4,21580,510,0
2024-09-27 16:00:00+00:00,20033.87,20089.59,19971.71,20021.66,17256,500,0
2024-09-29 20:00:00+00:00,20000.13,20084.84,19963.48,20076.24,3602,536,0
2024-09-30 00:00:00+00:00,20077.72,20089.05,19959.08,20023.32,9741,521,0
2024-09-30 04:00:00+00:00,20023.28,20049.93,19951.17,20028.51,9235,522,0
2024-09-30 08:00:00+00:00,20027.44,20027.55,19924.24,19934.96,10109,527,0
2024-09-30 12:00:00+00:00,19934.22,20065.24,19928.78,20011.65,18432,510,0
2024-09-30 16:00:00+00:00,20012.12,20091.36,19862.05,20071.19,19544,505,0
2024-09-30 20:00:00+00:00,20078.82,20079.84,20023.15,20056.55,5184,518,0
2024-10-01 00:00:00+00:00,20056.48,20140.03,20031.21,20093.46,7724,526,0
2024-10-01 04:00:00+00:00,20093.72,20098.28,20024.62,20095.49,8862,531,0
2024-10-01 08:00:00+00:00,20096.57,20133.51,20060.58,20081.41,9123,534,0
2024-10-01 12:00:00+00:00,20081.23,20095.07,19629.66,19731.57,28055,514,0
2024-10-01 16:00:00+00:00,19731.67,19887.82,19655.09,19784.03,26658,506,0
2024-10-01 20:00:00+00:00,19787.04,19823.48,19699.59,19739.11,7001,519,0
2024-10-02 00:00:00+00:00,19739.76,19801.88,19730.82,19791.29,9067,520,0
2024-10-02 04:00:00+00:00,19791.11,19795.87,19687.57,19759.27,10988,531,0
2024-10-02 08:00:00+00:00,19758.79,19781.91,19685.53,19740.27,10579,542,0
2024-10-02 12:00:00+00:00,19741.42,19896.12,19640.96,19867.72,24466,508,0
2024-10-02 16:00:00+00:00,19867.78,19891.48,19776.08,19815.19,17281,497,0
2024-10-02 20:00:00+00:00,19815.33,19879.13,19811.65,19864.97,4729,506,0
2024-10-03 00:00:00+00:00,19864.1,19865.01,19746.22,19759.29,10701,517,0
2024-10-03 04:00:00+00:00,19759.74,19782.11,19661.36,19692.9,10011,523,0
2024-10-03 08:00:00+00:00,19694.47,19787.22,19693.43,19787.22,10868,520,0
