time,open,high,low,close,tick_volume,spread,real_volume
2024-09-26 12:45:00+00:00,144.582,144.663,144.451,144.56,2530,9,0
2024-09-26 13:00:00+00:00,144.563,144.651,144.346,144.418,2322,9,0
2024-09-26 13:15:00+00:00,144.413,144.65,144.34,144.487,2667,9,0
2024-09-26 13:30:00+00:00,144.486,144.615,144.301,144.57,3173,9,0
2024-09-26 13:45:00+00:00,144.573,144.703,144.514,144.576,2513,9,0
2024-09-26 14:00:00+00:00,144.574,144.889,144.549,144.789,2429,9,0
2024-09-26 14:15:00+00:00,144.791,145.071,144.706,145.042,2048,9,0
2024-09-26 14:30:00+00:00,145.044,145.211,144.882,144.882,2801,9,0
2024-09-26 14:45:00+00:00,144.88,144.892,144.623,144.831,3641,9,0
2024-09-26 15:00:00+00:00,144.829,144.947,144.741,144.89,2222,9,0
2024-09-26 15:15:00+00:00,144.89,144.894,144.646,144.755,1648,9,0
2024-09-26 15:30:00+00:00,144.753,144.78,144.623,144.681,1558,9,0
2024-09-26 15:45:00+00:00,144.678,144.689,144.607,144.676,1110,9,0
2024-09-26 16:00:00+00:00,144.675,144.899,144.675,144.794,1477,9,0
2024-09-26 16:15:00+00:00,144.795,144.868,144.736,144.741,1377,9,0
2024-09-26 16:30:00+00:00,144.74,144.816,144.692,144.781,1056,9,0
2024-09-26 16:45:00+00:00,144.779,144.888,144.751,144.854,1032,9,0
2024-09-26 17:00:00+00:00,144.852,144.855,144.643,144.653,1479,9,0
2024-09-26 17:15:00+00:00,144.655,144.675,144.531,144.605,1352,9,0
2024-09-26 17:30:00+00:00,144.607,144.708,144.606,144.681,920,9,0
2024-09-26 17:45:00+00:00,144.681,144.721,144.624,144.715,948,9,0
2024-09-26 18:00:00+00:00,144.714,144.771,144.666,144.69,902,9,0
2024-09-26 18:15:00+00:00,144.692,144.727,144.613,144.716,954,9,0
2024-09-26 18:30:00+00:00,144.717,144.749,144.601,144.601,926,9,0
2024-09-26 18:45:00+00:00,144.602,144.64,144.558,144.623,940,9,0
2024-09-26 19:00:00+00:00,144.62,144.62,144.502,144.554,773,9,0
2024-09-26 19:15:00+00:00,144.555,144.61,144.528,144.596,561,9,0
2024-09-26 19:30:00+00:00,144.596,144.654,144.593,144.625,617,9,0
2024-09-26 19:45:00+00:00,144.628,144.684,144.62,144.639,631,9,0
2024-09-26 20:00:00+00:00,144.66,144.778,144.654,144.778,479,9,0
2024-09-26 20:15:00+00:00,144.778,144.845,144.769,144.84,386,9,0
2024-09-26 20:30:00+00:00,144.841,144.865,144.75,144.84,483,9,0
2024-09-26 20:45:00+00:00,144.842,144.879,144.781,144.805,459,9,0
2024-09-26 21:00:00+00:00,144.777,144.809,144.735,144.805,68,38,0
2024-09-26 21:15:00+00:00,144.805,144.807,144.776,144.806,52,38,0
2024-09-26 21:30:00+00:00,144.794,144.808,144.647,144.662,69,38,0
2024-09-26 21:45:00+00:00,144.707,144.793,144.691,144.772,259,38,0
2024-09-26 22:00:00+00:00,144.801,144.903,144.782,144.903,396,9,0
2024-09-26 22:15:00+00:00,144.901,144.967,144.901,144.919,276,9,0
2024-09-26 22:30:00+00:00,144.919,144.959,144.901,144.942,275,9,0
2024-09-26 22:45:00+00:00,144.94,144.961,144.851,144.874,337,9,0
2024-09-26 23:00:00+00:00,144.871,144.985,144.871,144.965,459,9,0
2024-09-26 23:15:00+00:00,144.965,145.126,144.965,145.106,626,9,0
2024-09-26 23:30:00+00:00,145.106,145.142,145.011,145.019,686,9,0
2024-09-26 23:45:00+00:00,145.019,145.111,144.939,145.081,1333,9,0
2024-09-27 00:00:00+00:00,145.08,145.125,144.933,145.033,2275,9,0
2024-09-27 00:15:00+00:00,145.03,145.161,145.011,145.057,1416,9,0
2024-09-27 00:30:00+00:00,145.054,145.318,145.054,145.251,1842,9,0
2024-09-27 00:45:00+00:00,145.25,145.472,145.158,145.458,2051,9,0
2024-09-27 01:00:00+00:00,145.457,145.519,145.376,145.447,1774,9,0
2024-09-27 01:15:00+00:00,145.447,145.532,145.357,145.501,1903,9,0
2024-09-27 01:30:00+00:00,145.498,145.577,145.35,145.384,2049,9,0
2024-09-27 01:45:00+00:00,145.388,145.432,145.266,145.304,1774,9,0
2024-09-27 02:00:00+00:00,145.307,145.341,145.138,145.164,1749,9,0
2024-09-27 02:15:00+00:00,145.162,145.205,145.047,145.103,1280,9,0
2024-09-27 02:30:00+00:00,145.103,145.133,145.018,145.068,1217,9,0
2024-09-27 02:45:00+00:00,145.066,145.126,144.961,145.086,1202,9,0
2024-09-27 03:00:00+00:00,145.087,145.113,144.981,145.007,1085,9,0
2024-09-27 03:15:00+00:00,145.004,145.1,144.992,145.087,1082,9,0
2024-09-27 03:30:00+00:00,145.089,145.218,145.064,145.155,942,9,0
2024-09-27 03:45:00+00:00,145.155,145.262,145.13,145.248,808,9,0
2024-09-27 04:00:00+00:00,145.251,145.477,145.251,145.467,1417,9,0
2024-09-27 04:15:00+00:00,145.467,145.529,145.399,145.485,1116,9,0
2024-09-27 04:30:00+00:00,145.484,145.6,145.445,145.579,954,9,0
2024-09-27 04:45:00+00:00,145.577,145.798,145.565,145.789,1371,9,0
2024-09-27 05:00:00+00:00,145.789,146.233,145.756,146.167,4964,9,0
2024-09-27 05:15:00+00:00,146.169,146.496,146.118,146.442,4294,9,0
2024-09-27 05:30:00+00:00,146.443,146.477,146.249,146.273,3541,9,0
2024-09-27 05:45:00+00:00,146.275,146.338,146.108,146.253,2499,9,0
2024-09-27 06:00:00+00:00,146.257,146.347,146.142,146.194,3894,9,0
2024-09-27 06:15:00+00:00,146.196,146.25,143.503,143.857,18272,9,0
2024-09-27 06:30:00+00:00,143.859,143.973,143.27,143.58,11710,9,0
2024-09-27 06:45:00+00:00,143.581,143.659,143.13,143.172,7675,9,0
2024-09-27 07:00:00+00:00,143.18,143.278,142.77,143.059,5686,9,0
2024-09-27 07:15:00+00:00,143.059,143.382,142.848,143.155,5396,9,0
2024-09-27 07:30:00+00:00,143.158,143.337,143.12,143.17,4434,9,0
2024-09-27 07:45:00+00:00,143.17,143.468,143.13,143.192,2650,9,0
2024-09-27 08:00:00+00:00,143.19,143.335,143.031,143.332,3278,9,0
2024-09-27 08:15:00+00:00,143.331,143.768,143.287,143.436,3772,9,0
2024-09-27 08:30:00+00:00,143.433,143.519,143.049,143.05,2745,9,0
2024-09-27 08:45:00+00:00,143.051,143.146,142.944,143.14,2998,9,0
2024-09-27 09:00:00+00:00,143.137,143.455,143.068,143.244,3159,9,0
2024-09-27 09:15:00+00:00,143.247,143.494,143.207,143.381,3110,9,0
2024-09-27 09:30:00+00:00,143.381,143.416,143.133,143.366,2755,9,0
2024-09-27 09:45:00+00:00,143.37,143.385,143.063,143.133,2120,9,0
2024-09-27 10:00:00+00:00,143.134,143.327,143.05,143.211,2044,9,0
2024-09-27 10:15:00+00:00,143.209,143.263,143.08,143.1,1579,9,0
2024-09-27 10:30:00+00:00,143.1,143.192,142.955,143.175,2125,9,0
2024-09-27 10:45:00+00:00,143.177,143.231,143.125,143.221,1676,9,0
2024-09-27 11:00:00+00:00,143.223,143.362,143.186,143.297,1916,9,0
2024-09-27 11:15:00+00:00,143.298,143.357,143.12,143.189,1852,9,0
2024-09-27 11:30:00+00:00,143.19,143.229,143.085,143.158,1681,9,0
2024-09-27 11:45:00+00:00,143.16,143.184,143.092,143.105,1499,9,0
2024-09-27 12:00:00+00:00,143.103,143.141,142.97,143.06,2244,9,0
2024-09-27 12:15:00+00:00,143.061,143.214,143.02,143.178,2024,9,0
2024-09-27 12:30:00+00:00,143.174,143.237,142.608,142.837,4958,9,0
2024-09-27 12:45:00+00:00,142.837,142.867,142.495,142.515,3410,9,0
2024-09-27 13:00:00+00:00,142.519,142.762,142.489,142.631,3115,9,0
2024-09-27 13:15:00+00:00,142.634,142.967,142.632,142.94,2482,9,0
2024-09-27 13:30:00+00:00,142.941,142.993,142.591,142.65,2770,9,0
2024-09-27 13:45:00+00:00,142.649,142.728,142.503,142.551,2465,9,0
2024-09-27 14:00:00+00:00,142.539,142.677,142.381,142.625,3278,9,0
2024-09-27 14:15:00+00:00,142.622,143.073,142.525,142.766,4708,9,0
2024-09-27 14:30:00+00:00,142.768,142.883,142.682,142.75,2908,9,0
2024-09-27 14:45:00+00:00,142.749,142.943,142.719,142.855,2826,9,0
2024-09-27 15:00:00+00:00,142.856,143.074,142.809,143.02,2792,9,0
2024-09-27 15:15:00+00:00,143.021,143.084,142.834,142.885,1993,9,0
2024-09-27 15:30:00+00:00,142.887,142.897,142.719,142.728,1656,9,0
2024-09-27 15:45:00+00:00,142.725,142.746,142.558,142.598,2103,9,0
2024-09-27 16:00:00+00:00,142.597,142.626,142.485,142.526,2011,9,0
2024-09-27 16:15:00+00:00,142.529,142.701,142.515,142.646,1981,9,0
2024-09-27 16:30:00+00:00,142.645,142.645,142.403,142.47,1590,9,0
2024-09-27 16:45:00+00:00,142.471,142.553,142.436,142.507,1409,9,0
2024-09-27 17:00:00+00:00,142.508,142.6,142.45,142.498,1299,9,0
2024-09-27 17:15:00+00:00,142.498,142.515,142.284,142.409,1584,9,0
2024-09-27 17:30:00+00:00,142.41,142.41,142.282,142.331,1170,9,0
2024-09-27 17:45:00+00:00,142.331,142.445,142.29,142.324,1514,9,0
2024-09-27 18:00:00+00:00,142.325,142.412,142.311,142.356,1306,9,0
2024-09-27 18:15:00+00:00,142.359,142.359,142.144,142.145,1612,9,0
2024-09-27 18:30:00+00:00,142.144,142.175,142.069,142.138,1183,9,0
2024-09-27 18:45:00+00:00,142.136,142.235,142.133,142.163,1061,9,0
2024-09-27 19:00:00+00:00,142.161,142.262,142.092,142.095,1201,9,0
2024-09-27 19:15:00+00:00,142.093,142.178,142.08,142.147,1030,9,0
2024-09-27 19:30:00+00:00,142.146,142.175,142.063,142.133,1015,9,0
2024-09-27 19:45:00+00:00,142.134,142.234,142.067,142.128,1225,9,0
2024-09-27 20:00:00+00:00,142.134,142.261,142.134,142.236,495,9,0
2024-09-27 20:15:00+00:00,142.235,142.235,142.163,142.183,598,9,0
2024-09-27 20:30:00+00:00,142.182,142.187,142.122,142.174,537,9,0
2024-09-27 20:45:00+00:00,142.175,142.258,142.154,142.204,575,9,0
2024-09-29 21:00:00+00:00,142.214,142.254,142.199,142.254,100,61,0
2024-09-29 21:15:00+00:00,142.254,142.254,142.17,142.249,73,61,0
2024-09-29 21:30:00+00:00,142.217,142.247,142.057,142.181,222,38,0
2024-09-29 21:45:00+00:00,142.181,142.267,142.167,142.244,230,38,0
2024-09-29 22:00:00+00:00,142.269,142.543,142.243,142.467,694,9,0
2024-09-29 22:15:00+00:00,142.466,142.575,142.376,142.568,641,9,0
2024-09-29 22:30:00+00:00,142.565,142.648,142.525,142.573,657,9,0
2024-09-29 22:45:00+00:00,142.574,142.694,142.54,142.672,509,9,0
2024-09-29 23:00:00+00:00,142.674,142.763,142.581,142.756,1025,9,0
2024-09-29 23:15:00+00:00,142.756,142.839,142.754,142.807,834,9,0
2024-09-29 23:30:00+00:00,142.807,142.918,142.74,142.742,1033,9,0
2024-09-29 23:45:00+00:00,142.744,142.947,142.739,142.786,1541,9,0
2024-09-30 00:00:00+00:00,142.789,142.842,142.614,142.796,2262,9,0
2024-09-30 00:15:00+00:00,142.793,142.801,142.569,142.646,1880,9,0
2024-09-30 00:30:00+00:00,142.648,142.722,142.506,142.595,2014,9,0
2024-09-30 00:45:00+00:00,142.596,142.742,142.452,142.684,3078,9,0
2024-09-30 01:00:00+00:00,142.683,142.843,142.619,142.675,2193,9,0
2024-09-30 01:15:00+00:00,142.676,142.676,142.55,142.575,1383,9,0
2024-09-30 01:30:00+00:00,142.575,142.648,142.441,142.61,1895,9,0
2024-09-30 01:45:00+00:00,142.612,142.625,142.411,142.467,1637,9,0
2024-09-30 02:00:00+00:00,142.464,142.472,142.299,142.386,1740,9,0
2024-09-30 02:15:00+00:00,142.385,142.433,142.297,142.4,1260,9,0
2024-09-30 02:30:00+00:00,142.4,142.443,142.266,142.411,1104,9,0
2024-09-30 02:45:00+00:00,142.411,142.55,142.386,142.518,863,9,0
2024-09-30 03:00:00+00:00,142.516,142.524,142.416,142.428,725,9,0
2024-09-30 03:15:00+00:00,142.428,142.43,142.33,142.371,868,9,0
2024-09-30 03:30:00+00:00,142.372,142.435,142.349,142.407,991,9,0
2024-09-30 03:45:00+00:00,142.405,142.495,142.363,142.45,1052,9,0
2024-09-30 04:00:00+00:00,142.45,142.5,142.262,142.267,1111,9,0
2024-09-30 04:15:00+00:00,142.266,142.318,142.176,142.218,911,9,0
2024-09-30 04:30:00+00:00,142.221,142.254,142.162,142.233,907,9,0
2024-09-30 04:45:00+00:00,142.233,142.262,142.078,142.125,1043,9,0
2024-09-30 05:00:00+00:00,142.123,142.156,141.971,141.993,1877,9,0
2024-09-30 05:15:00+00:00,141.993,142.059,141.887,142.017,1648,9,0
2024-09-30 05:30:00+00:00,142.02,142.106,141.742,141.757,1885,9,0
2024-09-30 05:45:00+00:00,141.756,141.815,141.654,141.701,2088,9,0
2024-09-30 06:00:00+00:00,141.701,141.897,141.646,141.877,1946,9,0
2024-09-30 06:15:00+00:00,141.878,141.913,141.641,141.796,2234,9,0
2024-09-30 06:30:00+00:00,141.795,142.036,141.726,142.001,1772,9,0
2024-09-30 06:45:00+00:00,141.997,142.077,141.905,142.05,1437,9,0
2024-09-30 07:00:00+00:00,142.048,142.199,142.006,142.045,2058,9,0
2024-09-30 07:15:00+00:00,142.045,142.067,141.915,141.976,1424,9,0
2024-09-30 07:30:00+00:00,141.976,142.321,141.964,142.313,2183,9,0
2024-09-30 07:45:00+00:00,142.312,142.428,142.236,142.364,2176,9,0
2024-09-30 08:00:00+00:00,142.365,142.474,142.343,142.401,2012,9,0
2024-09-30 08:15:00+00:00,142.404,142.496,142.36,142.411,1645,9,0
2024-09-30 08:30:00+00:00,142.409,142.474,142.338,142.413,1620,9,0
2024-09-30 08:45:00+00:00,142.413,142.579,142.358,142.531,1791,9,0
2024-09-30 09:00:00+00:00,142.533,142.568,142.461,142.47,1192,9,0
2024-09-30 09:15:00+00:00,142.47,142.568,142.445,142.526,1230,9,0
2024-09-30 09:30:00+00:00,142.526,142.6,142.503,142.509,841,9,0
2024-09-30 09:45:00+00:00,142.511,142.57,142.451,142.529,1129,9,0
2024-09-30 10:00:00+00:00,142.531,142.645,142.531,142.638,901,9,0
2024-09-30 10:15:00+00:00,142.641,142.746,142.633,142.717,878,9,0
2024-09-30 10:30:00+00:00,142.719,142.796,142.643,142.688,953,9,0
