agent_idx,final_equity,winrate,trades,max_drawdown
993,148.0521,0.5723457,6075,0.11010787
3393,115.12456,0.58871424,5281,0.15179646
6218,111.77696,0.5880808,4950,0.10961455
4996,105.2508,0.5641716,5571,0.15687132
6230,93.22574,0.54377586,6282,0.14529537
4492,92.61076,0.5454836,6266,0.16195554
1722,68.41971,0.52944213,3872,0.08097777
5906,67.56873,0.5198198,6660,0.10099571
2474,61.869507,0.5468809,5290,0.087078884
4063,60.251114,0.577084,3107,0.04712868
5457,59.37766,0.5145678,4153,0.052934613
3083,55.43088,0.41677532,4602,0.10856473
5958,55.382877,0.45927602,3536,0.0954993
588,50.523705,0.5562474,2409,0.08066183
1288,49.344265,0.50805587,6517,0.11852403
4191,48.978962,0.55571675,3446,0.1456539
3628,46.118282,0.5551746,3208,0.07846292
5268,45.71926,0.5076395,6414,0.16760713
6220,43.317455,0.666548,2810,0.08098608
4073,42.678417,0.58098066,2019,0.0673303
1702,42.067978,0.66432583,2848,0.07707262
1033,40.841354,0.60885227,3886,0.122290015
3815,40.49196,0.5406297,3335,0.07674368
5461,40.22188,0.62083715,3273,0.08334734
3480,37.560665,0.53431374,4896,0.114202924
501,36.524982,0.49636275,4124,0.11553051
4169,35.922443,0.48015076,7960,0.18249732
2055,35.884827,0.44309622,2390,0.067271635
5321,35.79794,0.4036601,4754,0.07450931
2088,35.440292,0.45940593,3030,0.05465544
6335,35.397907,0.5634296,2286,0.116875425
4781,35.387188,0.5291385,2368,0.06222154
6637,35.05805,0.5427831,2314,0.058089077
6696,34.672432,0.48734036,4463,0.109668665
3814,34.458157,0.49558985,1814,0.036502298
6323,32.470127,0.4448383,2257,0.060161605
250,32.082855,0.493013,4079,0.09522856
5932,31.338438,0.58954394,2697,0.053147454
86,31.08273,0.39568502,4635,0.11812072
2485,30.729101,0.41143525,4285,0.084431656
6508,30.36969,0.47155434,7611,0.19034627
3233,30.172886,0.52294946,6035,0.13375692
1658,30.123913,0.5027606,5977,0.080470756
3958,28.371166,0.4756044,6825,0.14854974
1369,28.188505,0.5533981,2781,0.04902106
5787,28.050909,0.47584593,4699,0.10427006
5930,26.873333,0.4209824,3746,0.10329967
2235,26.459597,0.53163534,4947,0.11995414
2421,25.78352,0.46876985,4723,0.07981482
6085,25.59341,0.3913332,4523,0.10725775
2405,25.557587,0.49483472,2904,0.10732609
229,25.41028,0.38328236,4905,0.16414295
2252,25.401175,0.34447387,3022,0.08030653
4440,25.163158,0.4560112,2853,0.08145526
5679,25.119156,0.59348875,2273,0.06343496
2103,24.989315,0.5064021,1562,0.03930233
6500,24.948185,0.5848974,2291,0.042090118
5566,24.883305,0.5282205,3012,0.05950718
6439,24.656168,0.52760464,2246,0.0932143
4155,24.637758,0.36112207,2531,0.058408383
5126,24.618319,0.38080788,5273,0.13225642
562,24.174398,0.60555714,3491,0.08762989
4408,24.10351,0.5389724,2861,0.038854674
1728,23.95967,0.6055101,3303,0.09041834
4893,23.909098,0.42696142,2307,0.08070707
131,23.762526,0.3768265,4859,0.10475743
6623,23.43429,0.47708577,1702,0.053175688
1681,22.931993,0.37157258,4960,0.10275327
4656,22.75992,0.52290463,2947,0.06129937
608,22.338045,0.5102543,2438,0.05088415
265,22.277542,0.6796071,2138,0.07586676
3720,22.05343,0.5088757,5915,0.15466362
898,22.042887,0.41204348,3587,0.053975794
6705,21.941462,0.3334341,3308,0.05580262
1566,21.854343,0.49193272,5826,0.16183558
789,21.748934,0.47300717,4742,0.10343179
3874,21.599472,0.5347808,4744,0.1061486
383,21.31351,0.6552649,2982,0.062158003
3529,21.266884,0.6227039,2722,0.078694604
4647,21.208239,0.45074198,4852,0.1145435
6031,21.126245,0.4827979,4389,0.15840024
5739,21.125643,0.49192825,6690,0.22116336
5352,21.048697,0.491794,3534,0.05694161
3899,21.036518,0.47597805,2914,0.09050939
2737,20.89944,0.50143474,1394,0.042323135
2890,20.835705,0.40869564,2415,0.074030906
1993,20.741987,0.5972644,3290,0.057809114
3904,20.692533,0.5654422,3675,0.11134665
599,20.635916,0.3630417,2446,0.0785967
4369,20.627764,0.6476593,2841,0.04411179
992,20.616058,0.45821783,2525,0.046989318
2732,20.575214,0.5119129,2938,0.056652844
6065,20.514738,0.46936446,7883,0.16289064
1679,20.233465,0.48935416,2818,0.13254796
273,20.014894,0.35598704,2781,0.047621325
193,20.00844,0.45428017,3084,0.07639975
2669,19.993132,0.50048405,2066,0.036647405
936,19.986233,0.379717,5088,0.13446654
450,19.90642,0.4574468,1786,0.059573524
4635,19.864096,0.38222542,4152,0.12299588
1629,19.576378,0.34987324,2761,0.05027346
4894,19.57485,0.46329483,7533,0.1815414
1141,19.55602,0.45816833,8080,0.18215422
4243,19.51549,0.46561128,7517,0.16618547
2538,19.30435,0.45463747,7903,0.2101557
